Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
Sweco B;Sverige;Large Cap;Industri;Byggnation;SWEC B;Aktier;Q1-2018;1.897222;0.7529412;4.26;4.766667;21.41948;1.450995;3.919335;26824.07;132017.2;0.1859779;0.1868496;0.1290833;0.1369548;0.1883181;0.3245956;414.36;651.3333;24825.07;119.008;9.7388;0.001002386;33.24473
Swedbank;Sverige;Large Cap;Finans & Fastighet;Bank;SWED A;Aktier;Q1-2018;0.1658292;-0.07199997;12.25;13.06667;10.73211;4.860196;1.686642;-49706.46;3378106;0.1508021;0.1440485;0.008947333;0.009510142;0.1115878;0.06722704;29325.2;24701.67;206689.5;1113.629;17.2939;0.003124323;21.49088
Svedbergs;Sverige;Small Cap;Industri;Byggprodukter;SVED B;Aktier;Q1-2018;0.3955555;0.01290321;2.2;2.25;14.29417;1.042488;3.590854;845.7308;12908.32;0.2627663;0.2363365;0.1700885;0.1421724;0.2148944;0.1118045;1.52;-15.7;663.2308;21.122;2.1967;0.000937687;24.33463
Swedencare;Sverige;First North;Dagligvaror;Livsmedel;SECARE;Aktier;Q1-2018;;;0.054;;45.5774;6.834372;7.222274;572.2085;8085.14;0.1674109;0.3332737;0.3635075;0.1956846;1.539959;0.233327;-1.0162;-3.822;577.8325;15.575;0.814;0.000523266;47.06666
Swedish Match;Sverige;Large Cap;Dagligvaror;Konsumentprodukter;SWMA;Aktier;Q1-2018;0.811632;0.6439543;15.1;16;22.68121;4.807496;-21.176;80874.03;826718.9;-1.833604;3.006161;0.5365756;0.6831726;0.06188646;0.08306102;4233.6;4970.333;73396.03;175.841;18.4029;0.004810572;22.30134
Swedish Orphan Biovitrum;Sverige;Large Cap;Hälsovård;Bioteknik;SOBI;Aktier;Q1-2018;3.370146;0.3957365;;;32.98948;6.841086;6.712134;46684.05;864117.8;0.1753446;0.09626524;0.0871598;0.1590297;;1.778648;600.04;862;48428.05;268.97;5.4578;0.003275714;38.33488
Swedol;Sverige;Mid Cap;Sällanköpsvaror;Återförsäljare;SWOL B;Aktier;Q1-2018;0.6584157;0.8406593;0.62;0.7666667;13.5831;0.8993869;2.511444;3038.7;145703.3;0.1710933;0.1340341;0.1027249;0.1248015;0.52097;0.551089;59.38;64.8;2787.2;83.2;2.4663;0.001590811;25.00548
Swemet;Sverige;NGM;Informationsteknik;Elektronisk utrustning;SWEM MTF B;Aktier;Q4-2017;;;;;-2.178435;0.4281326;2.982775;8.340568;37586.94;-0.7521141;-0.824901;-0.3859064;-0.5630896;;;-1.5418;-2.254;6.135568;15.416;-0.1827;0.00252426;127.4356
Svenska Aerogel;Sverige;First North;Industri;Produktion;AERO;Aktier;Q1-2018;;;;;-5.74662;13.94072;1.780378;72.10254;83407.64;-0.3048408;;;-0.5532761;;;;-17.19867;104.7645;26.794;-0.6804;0.002169546;47.87804
Svenska Bostadsfonden 14A;Sverige;NGM;Finans & Fastighet;Fastigheter;SB14 A;Aktier;Q4-2017;;;;;35034.69;10698.59;989.4611;204325.8;0.67;;;;;;;;;204204;4.004;1.4557;1.65E-07;12.89194
Sveriges Bostadsrättscentrum;Sverige;NGM;Finans & Fastighet;Fastigheter;SBC;Aktier;Q1-2018;1.19336;0.1100918;1.32;1.033333;21.83918;2.311717;7.759797;915.6168;413.12;0.376989;0.3510394;0.7721254;0.7112787;9.03E-05;0.02162914;49.4118;58.289;996.6528;41.184;1.1081;9.45E-06;33.07747
Svolder A;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;SVOL A;Pref;Q2-2018;1.395349;0.7991267;1.4;1.541667;12.86873;;0.9605829;2577.6;149.55;0.2166159;0.2010126;0.1839587;0.2359086;-0.1460111;0.02476643;44.56;74.23333;2636.8;25.6;8.0039;6.59E-06;44.67036
Svolder B;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;SVOL B;Aktier;Q2-2018;1.946061;0.8087442;1.4;1.541667;12.14658;;0.9066783;2429.632;20844.98;0.2166159;0.2010126;0.1839587;0.2359086;-0.1460111;0.02476643;44.56;74.23333;2488.832;25.6;8.0039;0.000607027;24.25389
Sydbank;Denmark;Large Cap;Finans & Fastighet;Bank;SYDB;Aktier;Q1-2018;0.7293933;-0.1514689;10.256;11.02667;9.811317;3.861809;1.309728;18020.1;194248.8;0.129023;0.1161079;0.009579437;0.01095484;0.5483005;0.1270342;1997.2;2340.333;14864.1;66.835;22.6677;0.002888398;21.48158
Sydsvenska Hem;Sverige;Aktietorget;Finans & Fastighet;Fastigheter;SYDSV;Aktier;Q3-2018;;;;7.166667;6.389215;4.821675;1.099663;731.602;2465.35;0.09209935;;;0.03019948;;;;-131.544;261.6;2.4;17.06;0.001073425;29.5926
SynAct Pharma;Sverige;Aktietorget;Hälsovård;Bioteknik;SYNACT;Aktier;Q1-2018;;;;;-11.44033;;16.8026;165.8813;33020.14;-1.077308;;;-13.3912;;;;-16.05167;172.5963;12.417;-1.215;0.001773775;72.86545
SyntheticMR;Sverige;Aktietorget;Informationsteknik;Programvara & Internet;SYNT;Aktier;Q1-2018;;4.217391;;;158.3038;33.81868;39.01097;1312.239;3387.38;0.2020628;0.06013377;0.03104953;0.4502023;;3.762355;1.225;6.542666;1333.2;4.04;2.0846;0.000854337;49.95339
Systemair;Sverige;Mid Cap;Industri;Byggprodukter;SYSR;Aktier;Q3-2018;-0.07475725;-0.2888059;2.2;2;20.03911;0.6875806;2.012917;6544.7;34440.35;0.1074266;0.1408608;0.1209758;0.09382468;0.005371783;-0.07235665;58.94;-24.26667;4955.6;52;4.7557;0.000437262;40.11257
Taaleri;Finland;Mid Cap;Finans & Fastighet;Investmentbolag;TAALA;Aktier;Q4-2017;1.979561;0.248731;;0.2266667;12.80416;3.444468;2.629652;278.964;6724.94;0.265226;;;0.1194258;;0.05439088;;2.050334;278.964;28.35;0.7685;0.00020047;22.67332
TagMaster;Sverige;First North;Informationsteknik;Kommunikation;TAGM B;Aktier;Q1-2018;2.543478;0.6632653;;;19.45107;1.531561;3.151355;314.4981;153702.9;0.1435721;0.1803612;0.2207483;0.1247668;0.5767002;0.4771464;-15.0048;-17.88033;328.2641;201.389;0.0838;0.000817305;42.64912
Talenom;Finland;Small Cap;Sällanköpsvaror;Tjänster & Leverans;TNOM;Aktier;Q4-2017;;;;0.1966667;27.93854;2.283771;6.840339;112.989;10185.11;0.02112399;;;0.014338;;3.420779;;-0.4316667;95.368;6.812;0.5011;0.001289598;25.91552
Talkpool;Sverige;First North;Informationsteknik;Kommunikation;TALK;Aktier;Q1-2018;;;;;275.2294;1.042029;8.853922;215.424;22688.12;-0.2030032;-0.0654782;-0.04548707;-0.1437589;;-0.3487877;-22.45412;-37.2283;192.27;4.93;0.1417;0.00344069;41.73102
Tangiamo Touch;Sverige;First North;Sällanköpsvaror;Betting & Spel;TANGI;Aktier;Q1-2018;;;;;-15.84861;2.081015;1.490512;45.6192;26868.7;-0.139578;-0.1039285;-0.2667689;-0.2187466;;;-10.87;-15.196;53.3052;19.89;-0.1691;0.001076859;77.45954
TargetEveryOne;Sverige;First North;Informationsteknik;Programvara & Internet;TEONE;Aktier;Q4-2017;;;;;-4.222432;0.6041719;1.256419;94.1572;43069.68;-0.3856643;;;-0.2455238;;;;-3.032;63.4592;28.33;-0.5305;0.001189116;65.84142
Targovax;Norge;OB Match;Hälsovård;Läkemedel;TRVX;Aktier;Q1-2018;;;;;-7.325113;25593.57;2.010791;766.471;169431;-0.2734028;;;-0.3643179;;;;-110.6123;946.962;52.609;-2.4573;0.002693708;52.36329
Taurus Energy;Sverige;Aktietorget;Energi;Olja & Gas;TAUR B;Aktier;Q2-2018;0.7301454;-0.05263153;;;-20.42553;;5.926782;114.2806;167775.3;-0.3133019;-0.345648;-0.6474462;-0.6240387;;;-6.2788;-6.242;125.4226;87.099;-0.0705;0.002368113;81.7668
TC Connect;Sverige;First North;Informationsteknik;Kommunikation;TCC;Aktier;Q4-2017;;;;;-101.751;0.7625672;1.441332;98.88;14587.45;;;;;;;;;88.91;3.4;-0.257;0.001230024;69.50816
TC TECH;Sverige;First North;Industri;Produktion;TCT;Aktier;Q1-2018;;;;;-5.608283;26.94461;6.273854;152.672;5037.21;-0.835806;-2.075656;-0.8463683;-0.9714367;;;-19.7886;-24.47733;151.294;11.638;-2.318;0.000349445;72.85645
TCM Group;Denmark;Small Cap;Industri;Byggprodukter;TCM;Aktier;Q1-2018;;;;;18.50195;1.153426;2.946097;1153.6;40776.5;0.1335201;;;0.07798719;;;;-81.43333;951;10;5.14;0.006281802;26.8293
TDC;Denmark;Large Cap;Telekommunikation;Telekommunikationstjänster;TDC;Aktier;Q1-2018;0.1117517;0.01109093;1.32;1.033333;28.61546;1.996147;1.538345;60145.34;4380716;0.07580133;0.05761117;0.03056073;0.03729277;-0.1480531;;987.2;3340.333;40232.34;802.4;1.7522;0.002681552;41.62637
Team Tankers;Norge;OB Standard;Industri;Tjänster & Leverans;TEAM;Aktier;Q1-2018;;-0.4290322;;;-3.365019;0.871915;0.5202928;1593.542;2420.97;-0.1099477;0.1478558;0.03079343;-0.1189937;;;190.3146;173.8944;1663.384;187.953;-2.63;9.94E-06;47.79013
Technopolis;Finland;Mid Cap;Finans & Fastighet;Fastigheter;TPS1V;Aktier;Q1-2018;-0.07163081;0.03199997;0.124;0.1;7.319841;3.404112;0.9713458;1431.194;221396.7;0.09490981;0.06753706;0.03409653;0.0487637;0.09372952;0.07599762;31.1038;51.75999;606.994;156.846;0.5287;0.001267212;23.88904
Techstep;Norge;OB Match;Informationsteknik;Kommunikation;TECH;Aktier;Q4-2017;-0.6816327;-0.671579;;;-16.39517;0.577751;1.006312;512.1801;26242;-0.6483468;-0.443773;-1.003363;-1.549508;;;-35.5092;-51.833;456.3031;146.251;-0.1903;0.00015878;54.19828
Tecnotree;Finland;Small Cap;Informationsteknik;IT-Tjänster;TEM1V;Aktier;Q4-2017;-0.648;-0.335849;;;-0.557403;0.1561123;-1.415248;24.53301;386472;-0.2887745;-0.3109005;-0.3354084;-0.3744713;;;0.7686001;3.433333;8.633011;122.628;-0.1263;0.002532021;59.22597
Tectona Capital;Sverige;NGM;Finans & Fastighet;Fastigheter;TCAB MTF B;Aktier;Q4-2017;;;;;-8.614501;13.5634;1.294121;32.6366;;;;;;;;;;29.6496;12.354;-0.2786;;
Tele2 A;Sverige;Large Cap;Telekommunikation;Telekommunikationstjänster;TEL2 A;Pref;Q1-2018;0.0606621;0.1067788;6.696;4.41;174.4;1.967805;3.021362;66402.15;3102.65;-0.02179091;0.03978235;0.03157449;-0.01475474;-0.5470182;-0.5463503;1975;1541.667;54756.15;502.35;0.625;5.66E-06;22.98268
Tele2 B;Sverige;Large Cap;Telekommunikation;Telekommunikationstjänster;TEL2 B;Aktier;Q1-2018;0.3319277;0.1032935;6.696;4.41;176.88;1.995788;3.064327;67180.79;2692960;-0.02179091;0.03978235;0.03157449;-0.01475474;-0.5470182;-0.5463503;1975;1541.667;55534.79;502.35;0.625;0.004456663;23.87625
Telenor;Norge;OBX;Telekommunikation;Telekommunikationstjänster;TEL;Aktier;Q1-2018;0.3501615;-0.0513621;7.76;8;19.61003;2.066675;4.152842;302408.7;1910867;0.1458922;0.124456;0.07298841;0.08941262;0.08123621;0.5728777;22466.4;27550.67;250968.7;1501.458;8.5237;0.001249016;20.58967
Teleste;Finland;Mid Cap;Informationsteknik;Kommunikation;TLT1V;Aktier;Q1-2018;0.6682242;-0.03643724;0.176;0.15;-15.76159;0.578355;1.868608;146.228;7102.51;-0.03538973;0.03116561;0.03097044;-0.03502592;;;6.700201;11.138;135.56;18.986;-0.453;0.000365584;19.976
Telia Company;Sverige;Large Cap;Telekommunikation;Telekommunikationstjänster;TELIA;Aktier;Q1-2018;-0.06304692;-0.1689553;2.52;2.2;94.47964;2.247184;1.67077;242310.1;14071120;0.04916403;0.07439391;0.04550072;0.02641923;-0.3373729;-0.4275916;13171.6;17440.67;180824.1;4330.08;0.442;0.002979453;24.50544
Telia Company oyj;Finland;Large Cap;Telekommunikation;Telekommunikationstjänster;TELIA1;Aktier;Q1-2018;-0.2168279;-0.2459963;0.27564;0.242;79.54813;2.044977;1.687457;23435.15;2237132;0.0502869;0.07506763;0.0458938;0.02707437;-0.3348334;-0.4187527;1414.401;1867.289;17532.49;4330.08;0.0509;0.000487593;25.12601
Tempest Security;Sverige;First North;Industri;Tjänster & Leverans;TSEC;Aktier;Q1-2018;;;;;-14.22605;0.8785964;4.974115;133.4396;9933.01;-0.01512063;;;-0.627676;;;;-9.596334;158.4206;7.267;-1.5324;0.000336907;67.07375
TerraNet;Sverige;First North;Informationsteknik;Kommunikation;TERRNT B;Aktier;Q1-2018;;;;;-3.745162;17.77565;3.083443;170.122;19602.79;-1.144741;;;-2.500574;;;;-52.36467;216.063;24.007;-2.4031;0.000756508;42.35735
Terveystalo;Finland;Large Cap;Hälsovård;Sjukvård;TTALO;Aktier;Q1-2018;;;;0.04;43.20407;1.938289;2.888011;1658.637;221320.6;0.04561865;;;0.02518478;;;;20.66667;1412.237;128.036;0.2553;0.003038782;22.15275
Tesla;USA;"NYSE & Nasdaq
";Industri;Produktion;TSLA;Aktier;Q1-2018;2.922095;0.2723891;;;-21.75588;4.083245;14.19729;59139.37;6952388;-0.3769358;-0.4546692;-0.1374051;-0.1026742;;;-2549.941;-3167.958;50923.09;169.146;-13.8381;0.04857954;45.27084
Tethys Oil;Sverige;Mid Cap;Energi;Olja & Gas;TETY;Aktier;Q1-2018;0.4447941;0.5127844;3.4;4.333333;11.22113;3.193096;1.576226;2813.34;131871.3;0.09968274;0.1228453;0.1511902;0.1190547;0.04919155;0.1555147;180.0452;91.07533;3269.219;33.899;8.5945;0.005076932;37.52622
TF Bank;Sverige;Mid Cap;Finans & Fastighet;Bank;TFBANK;Aktier;Q1-2018;;;1.598;2.233333;10.24171;2.967725;3.01367;1422.89;5791.35;0.2749025;0.2921368;0.03663868;0.03562087;0.09868962;0.1833739;276.99;358.3227;1582.4;21.5;7.1863;0.00021158;25.35072
TGS-NOPEC;Norge;OBX;Energi;Olja & Gas;TGS;Aktier;Q1-2018;0.3365617;0.4110429;5.89076;4.842;50.4515;6.902154;3.11751;25606.29;455410.8;0.04796463;0.05625639;0.0696816;0.06066654;-0.1943041;;754.0656;814.2696;27996.89;101.438;5.4706;0.004693149;37.12489
The Marketing Group;Sverige;First North;Sällanköpsvaror;Media;TMG;Aktier;Q4-2017;;;;;-0.1498459;0.2981841;0.2092938;5.065489;81819.35;;;;;;;;;6.816489;34.185;-1.3307;0.001762819;77.47443
The Scottish Salmon;Norge;OB Match;Dagligvaror;Livsmedel;SSC;Aktier;Q2-2017;1.971429;1.166667;;;12.51053;1.553572;1.645079;2408.365;171105.1;0.07331619;0.08329404;0.05530932;0.05170581;;0.03545361;-9.5749;-7.2435;2012.213;193.482;0.8313;0.001410577;30.95008
Thin Film;Norge;OB Match;Informationsteknik;Elektronisk utrustning;THIN;Aktier;Q1-2018;-0.1693877;-0.6795275;;;-5.197957;50.23143;2.45462;1776.129;2657021;-0.4879984;-0.6499393;-2.392048;-1.544016;;;-404.3873;-520.6846;2384.758;1171.871;-0.3915;0.001855542;47.83728
THQ Nordic;Sverige;First North;Sällanköpsvaror;Betting & Spel;THQN B;Aktier;Q1-2018;;;;;82.58138;13.32896;13.68922;16397.26;143669.9;0.1679779;0.4002554;0.5005825;0.2679512;;0.4275457;-40.31059;-88.15097;16243.38;79.236;2.4824;0.001698186;83.7444
Three Gates;Sverige;NGM;Sällanköpsvaror;Betting & Spel;GATE MTF;Aktier;Q4-2017;;;;;-0.548784;1.620117;-1.393192;6.8548;9693.12;-0.3706429;;;-5.778966;;;;-8.219666;7.4898;1.314;-10.3866;0.01153272;160.4227
Thule;Sverige;Large Cap;Sällanköpsvaror;Konsument;THULE;Aktier;Q1-2018;;1.141119;3.98;5.133333;31.11608;3.828688;5.744008;24636;208465.5;0.1884027;0.1311106;0.08319753;0.1207914;0.6323813;0.1677547;785.2;863.6667;22528;102.4;7.0703;0.002092919;21.15188
Tieto;Sverige;Large Cap;Informationsteknik;IT-Tjänster;TIETOS;Aktier;Q1-2018;1.268613;0.5881451;13.80018;14.78547;18.95862;1.462139;5.590686;23969.45;9092.69;0.2470595;0.2005732;0.1738497;0.2029813;0.1649953;0.1276391;525.5148;390.989;22913.11;73.723;16.3936;9.19E-05;22.22855
Tieto Oyj;Finland;Large Cap;Informationsteknik;IT-Tjänster;TIETO;Aktier;Q1-2018;0.8880504;0.440499;1.444;1.523333;18.14116;1.40269;5.664613;2313.865;124102.9;0.2528494;0.2040472;0.1765994;0.2075642;0.1390081;0.1037639;54.42;38.6;2213.165;73.723;1.6548;0.001572284;22.47404
Tikkurila;Finland;Mid Cap;Industri;Byggprodukter;TIK1V;Aktier;Q4-2017;-0.1070588;-0.1379898;0.8;0.8;62.59794;1.149603;3.729967;759.6291;42720.41;0.1619192;0.195391;0.1462903;0.1218483;-0.2340609;-0.3951142;35.3194;19.93333;669.5291;44.106;0.2425;0.000776089;32.2199
TiksPac;Sverige;Aktietorget;Industri;Tjänster & Leverans;TIKS;Aktier;Q3-2018;;-0.2134293;;;11.54523;1.292634;1.634428;28.656;10993.74;0.03957431;0.09775784;0.06902047;0.04443347;0.1578911;0.2675517;1.1034;1.448667;36.08;11;0.2841;0.000702242;72.03301
Time People Group;Sverige;NGM;Informationsteknik;IT-Tjänster;TPGR MTF;Aktier;Q3-2018;;;0.5600001;0.6433334;10.49918;1.014946;2.865138;79.98;8683.23;0.3984177;0.4347642;4.149725;6.406913;0.2455431;0.1336334;8.0488;10.46633;121.075;7.25;1.5906;0.000709294;46.71027
Titanium;Finland;First North;Finans & Fastighet;Fastigheter;TITAN;Aktier;Q4-2017;;;;;26.03164;6.694761;4.531001;56.6436;9578.93;;;;;;;;;67.9786;8.98;0.2908;0.000998775;24.72253
Tivoli;Denmark;Mid Cap;Sällanköpsvaror;Hotell, restaurang & nöje;TIV;Aktier;Q4-2017;1.180602;0.7103882;;;47.47584;3.933747;4.401597;4004.532;711.2;;;;;;;;;3726.832;5.716;13.7333;0.000113475;18.7531
TK Development;Denmark;Small Cap;Finans & Fastighet;Fastigheter;TKDV;Aktier;Q4-2018;0.1426391;-0.2428572;;;-1.784373;0.8605092;0.7328502;1886.074;152325.9;;;;;;;;;676.2742;98.153;-3.8613;0.001131078;19.285
Toadman;Sverige;NGM;Sällanköpsvaror;Betting & Spel;TOAD MTF;Aktier;Q2-2018;;;;;22.08866;6.333558;7.085104;198.0085;11064.58;0.2916401;;;0.315615;;1.711027;;0.01166662;221.1615;15.045;0.6655;0.000372893;69.96417
Tobii;Sverige;Mid Cap;Informationsteknik;Elektronisk utrustning;TOBII;Aktier;Q1-2018;;-0.1523385;;;-22.69258;3.314749;3.923753;3243.838;257125.6;-0.1299255;-0.110323;-0.1852078;-0.2436175;;;-170.06;-199.7;3703.238;97.3;-1.6772;0.002514011;55.27575
Tobin P. Pref;Sverige;First North;Finans & Fastighet;Fastigheter;TOBIN PREF;Pref;Q4-2017;;0.01327434;;11.5;;;;114.5;4241.04;;;;;;;;;114.5;1;;;10.25301
Tobin Properties;Sverige;First North;Finans & Fastighet;Fastigheter;TOBIN;Aktier;Q4-2017;;;;;6.337471;1.83016;0.3739806;976.3786;17133.31;0.03391216;;;0.01939287;;2.552054;;-479.4827;149.3136;10.369;2.2722;0.000813589;59.18805
Tokmanni Group;Finland;Mid Cap;Sällanköpsvaror;Återförsäljare;TOKMAN;Aktier;Q4-2017;;;;0.3066666;16.53235;0.5431629;2.670439;568.8476;98798.91;0.2108352;;;0.07641178;;-0.1568315;;32.56667;434.7476;58.869;0.4467;0.001578912;23.94596
Toleranzia;Sverige;Aktietorget;Hälsovård;Läkemedel;TOL;Aktier;Q1-2018;;;;;-4.694767;8.22107;0.8115109;0.29016;37210.35;-0.264158;-0.2779523;-0.8016384;-0.7428651;;;-5.8038;-7.408667;25.81416;7.992;-0.688;0.006564998;115.3714
Tomra Systems;Norge;OB Match;Industri;Tjänster & Leverans;TOM;Aktier;Q1-2018;2.539048;1.397419;2;2.266667;45.70051;3.60797;6.120558;28573.52;188521.6;0.1389529;0.1341257;0.1102697;0.1186628;0.09822363;0.000549929;398.78;316.7;27502.12;148.02;4.0656;0.001691432;33.54508
Topdanmark;Denmark;Large Cap;Finans & Fastighet;Bank;TOP;Aktier;Q1-2018;1.001363;0.5759528;7.6;12.66667;15.98284;1.430417;3.880026;25434.69;160567.4;0.2831183;0.2790011;0.02055841;0.02054451;0.08088866;0.1750174;2083;1495.667;25332.69;86.283;18.3697;0.001866701;28.18121
TopRight Nordic;Sverige;NGM;Informationsteknik;Elektronisk utrustning;TOPR MTF;Aktier;Q4-2017;;;;;-12.22558;19.52141;7.252581;111.9931;35641.62;-0.7824732;-1.369307;-0.8912991;-0.5961919;;;-8.362667;-8.362667;114.0831;12.267;-0.7607;0.001470963;75.8972
TORM;Denmark;Mid Cap;Industri;Tjänster & Leverans;TRMD A;Aktier;Q1-2018;;;;0.04206667;-323.7434;0.7395112;0.5314987;6697.62;77017.49;-0.06038392;;;-0.03510702;;;;-53.0998;3034.9;62;-0.1512;0.000956075;30.2957
Torslanda Property;Sverige;First North;Finans & Fastighet;Fastigheter;TORSAB;Aktier;Q4-2017;;0.1223629;;8;16.18005;5.645318;1.379962;527.031;281.56;0.07897976;;;0.03455973;;;;34.557;284.62;2.14;8.22;9.09E-05;22.75365
Totalbanken;Denmark;Small Cap;Finans & Fastighet;Bank;TOTA;Aktier;Q1-2018;1.512397;0.1259259;;;3.035507;1.270239;0.5046974;131.907;1670.68;0.1262201;;;0.01552811;;0.5853668;;-30.277;170.24;2.8;20.0296;0.0004764;33.72054
Touchtech;Sverige;Aktietorget;Informationsteknik;Elektronisk utrustning; TOUCH;Aktier;Q1-2018;;;;;-10.40331;7.956934;5.143861;45.4273;15406.66;-2.166415;-1.63377;-5.448723;-1.600436;;;-3.22775;-4.398;52.7863;7.231;-0.7017;0.001989669;57.77137
Tourn;Sverige;Aktietorget;Sällanköpsvaror;Media;TOURN;Aktier;Q1-2018;;3.413408;;;-141.704;2.180012;13.59943;116.503;7752.91;-0.162521;-0.1805886;-0.4210183;-0.2249277;;;-2.7785;-3.4735;115.024;7.28;-0.1115;0.000648745;58.06348
Traction;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;TRAC B;Aktier;Q1-2018;0.6827957;0.4490741;2.44;2.55;13.42599;;0.8306007;2117.435;1735.8;0.1114152;0.09562311;0.1108595;0.1206148;-0.03361719;-0.003456147;48.58;-55.2;2314.635;14.79;11.6565;0.000124633;23.15562
TradeDoubler;Sverige;Small Cap;Informationsteknik;Programvara & Internet;TRAD;Aktier;Q1-2018;-0.885955;-0.7493827;;;-7.543664;0.07924447;0.4142903;174.5765;30272.08;-0.1151085;-0.2595086;-0.2524401;-0.1142406;;;-43.0188;-57.34866;89.14948;43.916;-0.2691;0.000876043;77.28452
Trainers House;Finland;Small Cap;Industri;Tjänster & Leverans;TRH1V;Aktier;Q1-2018;0.2555555;0.9482759;;;27.56098;1.23998;1.539804;11.61828;30429.8;0.07277294;-0.4469683;-0.04532463;0.07901551;;-0.3700395;0.1912;0.371;12.06128;106.737;0.0041;0.000350892;50.8401
Transferator A;Sverige;Aktietorget;Finans & Fastighet;Investmentbolag;TRAN A;Aktier;Q1-2018;-0.4638889;0.2866666;;;-3.941993;1.068522;2.204105;46.52053;3333.41;-0.2851854;-0.1515077;-0.1218316;-0.2217458;;;-14.5064;-6.491667;50.22053;52.042;-0.2712;5.61E-05;116.1723
Transferator B;Sverige;Aktietorget;Finans & Fastighet;Investmentbolag;TRAN B;Pref;Q1-2018;-0.4842105;0.3424658;;;-3.613569;1.126674;1.132705;34.10116;13047.29;-0.2851854;-0.1515077;-0.1218316;-0.2217458;;;-14.5064;-6.491667;51.00116;52.042;-0.2712;0.000212217;114.1455
Transiro;Sverige;NGM;Informationsteknik;Kommunikation;TIRO MTF;Aktier;Q1-2018;;;;;-0.9398792;0.9502015;0.7930595;4.696652;12777.21;-1.074861;;;-0.989621;;;;-4.5172;4.347552;12.144;-0.3809;0.000669605;214.3662
Transtema;Sverige;First North;Telekommunikation;Telekommunikationstjänster;TRANS;Aktier;Q1-2018;;3.358974;;;26.56527;0.518425;2.192968;706.617;20682.57;0.1524659;0.3459914;0.2608515;0.1176773;0.2089454;0.2506525;-52.3996;-93.97433;544.731;21.362;0.9599;0.000766526;63.71036
Tre Kronor Property;Sverige;First North;Finans & Fastighet;Fastigheter;3KR;Aktier;Q4-2017;;;;;7.927408;25.79425;1.003331;838.313;2110.28;;;;;;;;;398.16;3.555;14.1282;0.000356433;15.18905
Treasure;Norge;OB Match;Finans & Fastighet;Investmentbolag;TRE;Aktier;Q4-2017;;;;;-3.102206;32.6087;0.6853452;3052.477;60812.77;;;;;;;;;3069;220;-4.4968;0.000453003;29.53966
Trelleborg;Sverige;Large Cap;Industri;Produktion;TREL B;Aktier;Q1-2018;0.9357976;0.1973526;4.2;4.416667;21.11294;1.693136;1.840944;64018.33;724790;0.1515865;0.1438968;0.1107409;0.1124175;0.09699845;-0.006185826;449.8;31.66667;53943.33;271.072;9.4255;0.002735234;20.40902
Trention;Sverige;Small Cap;Finans & Fastighet;Bank;TRENT;Aktier;Q1-2018;0.2765957;-0.1780822;;;5.613142;4.732141;0.7300269;227.127;4997.46;-0.008662606;-0.02931286;-0.07561528;0.006470585;;;-6.742002;-97.486;227.28;3.788;10.6892;0.001744245;25.73384
Trianon;Sverige;First North;Finans & Fastighet;Fastigheter;TRIAN B;Aktier;Q1-2018;;;;0.6666667;9.109762;8.597254;1.361593;5367.734;19855.49;0.220481;;;0.08058312;;;;-633.8333;2460.534;34.365;7.8597;0.000809507;20.89725
Troax Group;Sverige;Mid Cap;Industri;Tjänster & Leverans;TROAX;Aktier;Q1-2018;;2.274725;3.05;4.083333;34.38171;3.999407;7.99825;6505.319;33003.82;0.2424809;0.231433;0.1165742;0.1259191;0.6285627;0.108482;37.962;60.52966;5960;20;8.6674;0.001492509;33.94917
True Heading;Sverige;Aktietorget;Informationsteknik;Elektronisk utrustning;TRUE B;Aktier;Q1-2018;-0.9099317;-0.8704348;;;-1.324444;1.04211;0.9096856;12.22321;51063.12;-1.371918;-1.201559;-1.220191;-1.38274;;;-8.09775;-3.0845;10.47321;70.29;-0.1125;0.000683915;160.3479
Tryg;Denmark;Large Cap;Finans & Fastighet;Bank;TRYG;Aktier;Q1-2018;0.5312242;0.0841874;6.16;6.333333;19.13659;2.466581;3.863003;45310.3;557737.9;0.2210717;0.2189375;0.04658185;0.04816021;-0.006109357;0.04142642;1213.2;62;44741.3;302.102;7.7391;0.001872076;16.33529
TTS Group;Norge;OB Match;Industri;Tjänster & Leverans;TTS;Aktier;Q1-2018;-0.2075471;0.3179916;;;40.96229;0.4378394;1.02021;662.4592;164866.8;-0.06568922;-0.04499112;-0.05200575;-0.06363407;;;-10.7158;25.952;545.5422;86.594;0.1538;0.000438293;90.30898
